Partners,Balance-2004,Balance-2005,Balance-2006,Balance-2007,Balance-2008,Balance-2009,Balance-2010,Balance-2011,Balance-2012,Balance-2013,Balance-2014,Balance-2015,Balance-2016,Balance-2017,Balance-2018,Balance-2019,Balance-2020,Balance-2021,Balance-2022,Balance-2023
Tajikistan,192,791,885,386,1241,348,1727,2215,82,1124,1050,279,249,-213,-4503,346,425,-74,10694,-5603
"Tanzania, United Republic of",1989854,2401251,2369862,2318644,3504614,3442997,3593729,3589081,4454765,3930711,4817921,6527030,6154329,5578063,5365923,6497155,5028399,6337883,8097034,9507093
Thailand,-1986999,-3876936,-6085175,-7270919,-11038794,-8957103,-10531742,-12962800,-18076361,-21853113,-20567027,-20787660,-24486177,-25192542,-30751941,-30903453,-28983180,-36563154,-43937227,-56518366
Timor-Leste,-717,-392,20,22190,13360,796,14066,5213,10927,-19,2858,926,879,279,4621,18388,572,-16102,-1965,74
Togo,37788,63816,51777,155955,-175406,151529,170721,126389,338729,276995,663840,782654,-26219,-193731,-203168,-684566,-132645,-261823,-4208802,-497559
Tokelau,65686,-7709,-5142,91935,173232,343573,5736,-13461,108515,-15105,-15514,-3957,-7005,1730,-8268,-3305,-48047,-10080,-24075,-24606
Tonga,467,380,831,21389,13044,36518,386,144,1251,-144,-314,5441,1275,1104,1040,3089,311,-36277,639,535
Trinidad and Tobago,21618,14114,5766,-41950,-352912,-8576,30099,27856,118452,163768,51773,50279,-217665,-125602,-216308,-258080,-222508,-426827,-65182,97724
Tunisia,-314,-54456,-15923,37278,-60921,57750,31156,-25404,70230,-78292,-31419,-77650,-218266,-168600,-328800,-275212,-687182,-813377,-613936,-650633
Türkiye,-241784,-576859,-749402,-2676803,-1440713,-710187,836617,-62774,1209163,-183876,-570646,-516953,-987920,-1372016,-1176350,-5234613,-2074710,-6905244,-21436376,-9012557
Turkmenistan,666,361,194,618,5192,216,2631,7,12006,5560,7362,-533,2257,-652,197,0,-82,-236,-540,-147
Turks and Caicos Islands,-519,2835,972,4994,11276,-58,984,8931,245,1508,9971,51,264,0,-1343,-649,343,369,-311,350
Tuvalu,-51,715,0,660,446,813,1261,3020,10583,3832,6258,11910,14113,26954,7979,7765,2617,-44,3095,1180
Uganda,519224,518802,651024,953171,1251761,1073217,1462707,1556299,1369719,1685191,1708072,1648018,1709943,1769309,2089994,1791389,1316913,1537346,1503027,2086099
Ukraine,-188696,-12766,88282,143704,586659,44380,202963,-401939,-1175941,-1020777,-213738,163976,232584,-129766,361650,-182161,-256687,-292241,-163920,208608
United Arab Emirates,1510569,171930,-141286,82930,-901858,1108317,-115201,77673,-195013,2937129,321462,611105,4091992,8836861,5224202,-8773052,5396896,6118137,-26659506,-26858018
United Kingdom,6137384,12427223,8254291,7331933,10948686,3947554,4361089,-1109980,-1384539,-399250,2172065,7798669,14853325,13249625,20553524,26791771,41550465,93094931,73684918,64277118
United States Minor Outlying Islands,10146,57,-3466,7390,5240,13552,8410,8068,-16848,5032,3735,7902,13058,10736,2712,85084,18431,-2789,216770,1825
United States of America,3694657,3452665,5645791,9571174,7702260,-743768,8614506,1263657,2727816,3284302,-1282892,2654591,7851990,15789441,11427721,7070701,44232633,96049706,44607845,-14261985
Uruguay,-57626,-32918,-184528,1048295,1274742,-186487,-223800,-57870,-372131,-613096,-109857,-110565,-304148,-62182,-201417,-239851,-400960,-141553,19997,-153258
Uzbekistan,11663,4639,14816,61098,4129,11305,3586,-9412,-10346,2506,-14887,4642,-6243,25650,4055,20481,40148,-10744,-40550,-110976
Vanuatu,1498,17462,-1247,3119,268,3425,5728,2661,5512,5685,1429,12481,9380,1596,53,852,9845,1786,10269,1087
"Venezuela, Bolivarian Republic of",62651,85202,-173667,-334514,-2187746,-317149,269568,395417,335842,82825,56049,-24530,-26497,-159301,-8808,16526,18610,22670,142941,209622
Viet Nam,192492,211050,-300579,-549080,-664153,-1086554,-1685311,-2113899,-4479203,-7873444,-9555607,-13792282,-14352250,-10444954,-7499787,-9556543,-4535777,-9616660,-13470901,-12211846
Wallis and Futuna Islands,0,0,87,21,-65,0,0,0,1047,211,0,0,0,492,408,-29,3238,44,-49,
Western Sahara,0,0,-7,0,0,174,-36,252,0,0,0,0,0,0,0,0,0,,,
World,-46985250,-50895977,-106378928,-111307926,-110546298,-82127178,-3406523,37127198,-43785533,-79231119,-77992812,-50270506,21405715,83309162,15209720,31800548,277709517,444534913,192213875,62641025
Yemen,-442739,-264562,-364330,-815009,-10049301,-2346656,795695,-575289,498582,-661725,859476,734582,424646,802902,891959,551218,521584,532604,514165,337002
Zambia,3701898,4082081,5893667,7700614,13619371,10126023,10512896,14401547,18378376,22480267,25658730,26933466,27933043,27638021,28525887,27519146,25712476,30904653,40746225,46462898
Zimbabwe,3194408,4260561,2540841,2392674,7541496,11777646,14082422,14358131,16674361,19740017,22657210,21278270,23828638,26289208,27253384,26110972,34463660,40457156,49089574,57801071
